,Title,Ratings,Cost,Guests,Bedrooms,Beds,Bathrooms
27,Mahalakshmi residencY,4.93,₹886 per night,2 guests,1 bedroom,1 bed,1 private
28,1BHK/GF-WiFi-2AC-PowerBackUp-kitchen-washingmachin,5.0,"₹1,507 per night",4 guests,1 bedroom,3 beds,1 bathroom
29,Pebble,5.0,₹850 per night,2 guests,Studio ·,bed ·,private bathroom
30,1BHK-3 Power Back-up AC Wi-Fi near Candolim Beach,4.47,"₹1,105 per night",4 guests,1 bedroom,1 bed,1 bathroom
31,Cute Riverside Cottage 2 Mins to Morjim Beach,4.91,"₹1,450 per night",3 guests,1 bedroom,1 bed,1 private
32,Cozy (Govt Approved) AC Studio Apartment in Panjim,4.76,"₹1,199 per night",3 guests,Studio ·,bed ·,bathroom
33,Luxurious Apartment with a Pool near Candolim,4.71,"₹2,137 per night",4 guests,1 bedroom,2 beds,1 bathroom
34,Spectrum hub studio Apartments beach side,5.0,₹850 per night,2 guests,1 bedroom,1 bed,1 bathroom
35,1 Bedroom Apt Walking Distance from Candolim Beach,4.55,"₹1,100 per night",2 guests,1 bedroom,1 bed,1 bathroom
36,Casa-Obrigado Beach cottages -A/c pool views.,4.33,₹750 per night,9 guests,3 bedrooms,3 beds,3 bathrooms
37,Octopus Luxury Studio Apartment 3,4.62,₹999 per night,3 guests,Studio ·,bed ·,private bathroom
38,Quinta Da Santana - Luxury Hill Cottage,4.83,"₹3,800 per night",2 guests,1 bedroom,1 bed,1 bathroom
39,Mistral deluxe room,4.81,"₹1,097 per night",2 guests,1 bedroom,1 bed,1 private
40,MAHALAKSHMI RESIDENCY,4.83,₹800 per night,2 guests,1 bedroom,1 bed,1 private
41,Beautiful 1 BHK Apartment,4.60,"₹1,900 per night",4 guests,1 bedroom,1 bed,1 bathroom
42,Luxury 2BR Family Apartment Fast Wifi Near Baga,4.93,"₹1,799 per night",6 guests,2 bedrooms,2 beds,2 bathrooms
43,Brickwood,4.98,₹850 per night,2 guests,Studio ·,bed ·,private bathroom
44,LA QUINTA@PLACE LIKE YOUR HOME,4.47,"₹1,721 per night",5 guests,1 bedroom,2 beds,1 bathroom
45,Comfortable 1 BHK apartment near Colva & Majorda 2,4.81,"₹1,000 per night",3 guests,1 bedroom,1 bed,1 bathroom
